"Date","Price","Open","High","Low","Vol.","Change %"
"05/10/2021","117,778","117,333","117,778","114,756","1.24M","0.38%"
"05/07/2021","117,333","117,333","117,333","114,222","1.99M","-0.38%"
"05/06/2021","117,778","118,844","119,111","116,444","1.20M","-0.90%"
"05/05/2021","118,844","118,756","120,711","118,756","1.43M","0.07%"
"05/04/2021","118,756","116,089","119,911","112,800","1.95M","1.99%"
"04/29/2021","116,444","116,889","118,222","116,178","2.45M","-0.38%"
"04/28/2021","116,889","117,422","118,400","115,378","1.81M","-0.45%"
"04/27/2021","117,422","116,889","118,222","116,889","1.84M","0.46%"
"04/26/2021","116,889","123,556","124,000","116,444","2.74M","-4.92%"
"04/23/2021","122,933","123,378","124,000","118,222","4.96M","-0.36%"
"04/22/2021","123,378","126,222","127,022","122,222","3.73M","-3.00%"
"04/20/2021","127,200","128,000","129,689","127,111","3.50M","-0.63%"
"04/19/2021","128,000","126,311","128,178","125,422","3.17M","0.70%"
"04/16/2021","127,111","125,244","128,089","124,444","3.36M","1.49%"
"04/15/2021","125,244","124,356","128,889","124,356","3.85M","0.64%"
"04/14/2021","124,444","124,444","126,044","122,756","4.62M","-0.50%"
"04/13/2021","125,067","123,556","125,511","120,889","5.68M","6.59%"
"04/12/2021","117,333","111,022","118,044","109,689","3.92M","5.68%"
"04/09/2021","111,022","110,933","111,467","109,422","1.97M","-0.40%"
"04/08/2021","111,467","114,133","114,133","110,222","1.70M","-1.80%"
"04/07/2021","113,511","112,889","113,778","111,733","1.91M","0.55%"
"04/06/2021","112,889","110,489","115,111","110,222","2.23M","2.17%"
"04/05/2021","110,489","112,000","112,178","109,511","2.53M","1.06%"
"04/02/2021","109,333","110,133","110,133","108,000","2.54M","0.00%"
"04/01/2021","109,333","105,333","110,578","104,000","2.51M","4.33%"
"03/31/2021","104,800","104,444","106,222","104,000","3.18M","0.77%"
"03/30/2021","104,000","100,267","105,422","99,556","5.83M","3.72%"
"03/29/2021","100,267","100,000","100,889","99,822","3.53M","0.36%"
"03/26/2021","99,911","97,778","100,889","97,778","3.29M","1.81%"
"03/25/2021","98,133","95,378","99,911","95,200","4.86M","2.32%"
"03/24/2021","95,911","93,778","96,000","92,267","1.24M","1.31%"
"03/23/2021","94,667","94,222","95,111","93,422","1.16M","-0.75%"
"03/22/2021","95,378","96,356","96,356","92,889","1.10M","-1.01%"
"03/19/2021","96,356","93,867","96,356","93,867","1.83M","1.69%"
"03/18/2021","94,756","93,778","94,756","93,511","1.66M","1.81%"
"03/17/2021","93,067","92,622","93,600","92,444","1.42M","-0.66%"
"03/16/2021","93,689","94,222","94,222","93,244","1.53M","-0.57%"
"03/15/2021","94,222","94,133","94,400","93,689","2.96M","0.09%"
